,open,high,low,close,volume,marketCap,timestamp,crypto_name,date
31568,0.3759412796,0.3964279739,0.3580932104,0.3716259807,2064772.15993405,106941249.29005,2019-11-14T23:59:59.999Z,Terra Classic,2019-11-14
31569,0.0406431399,0.052280571,0.0406431399,0.0521206574,275790.105937421,5566617.96745429,2019-11-14T23:59:59.999Z,THORChain,2019-11-14
31570,0.090596458,0.0907516135,0.0864447089,0.086681223,11173061.7696316,75456237.7572546,2019-11-14T23:59:59.999Z,Theta Network,2019-11-14
31571,0.00269410145553,0.002697945227,0.00264195110851,0.00268023632375,77359949.1478105,327123523.215582,2019-11-14T23:59:59.999Z,Dogecoin,2019-11-14
31572,0.0765058081,0.0766106902,0.0740268385,0.0747404054,217039030.38003,1498902353.06849,2019-11-14T23:59:59.999Z,Stellar,2019-11-14
31573,8811.93633174,8826.94365923,8692.55188007,8708.09509517,19084739974.5708,157160974643.863,2019-11-14T23:59:59.999Z,Bitcoin,2019-11-14
31574,6.6745862069,6.8356918308,6.4633262133,6.7734347347,21702349.0397692,81773902.9116497,2019-11-14T23:59:59.999Z,Quant,2019-11-14
31575,0.0143830396,0.0148787923,0.0137153077,0.0143903756,9316181.74271823,54147661.8487902,2019-11-14T23:59:59.999Z,Chiliz,2019-11-14
31576,21.2813561731,21.512637813,20.9739773938,21.2646988286,237992230.454588,3307441358.73539,2019-11-14T23:59:59.999Z,BNB,2019-11-14
31577,0.2729029554,0.273867864,0.2680690932,0.2703908637,1264478183.59537,11707513879.8667,2019-11-14T23:59:59.999Z,XRP,2019-11-14
31578,0.0280938565,0.0283457841,0.0272514739,0.0274741252,8290684.62921153,133391411.117441,2019-11-14T23:59:59.999Z,Ravencoin,2019-11-14
31579,1.0045356767,1.0146986235,1.0009746191,1.0069385126,206724419.187945,442184866.449533,2019-11-14T23:59:59.999Z,USD Coin,2019-11-14
31580,1.1314987856,1.2954523756,1.105217191,1.2244323729,41978348.5404446,808582828.695167,2019-11-14T23:59:59.999Z,Tezos,2019-11-14
31581,0.00631405720314,0.00756273178868,0.00623527409341,0.0073486698324,145041004.95169,407518536.688502,2019-11-14T23:59:59.999Z,VeChain,2019-11-14
31582,8824.12078338,8844.71726448,8668.70488586,8731.70283882,84647.6950457815,5101862.88244533,2019-11-14T23:59:59.999Z,Wrapped Bitcoin,2019-11-14
31583,3.0189696114,3.180019938,2.9576612375,3.0630356963,198792070.570609,1072062493.698,2019-11-14T23:59:59.999Z,Chainlink,2019-11-14
31584,0.2553378586,0.2639156098,0.2537413536,0.25781123,76919032.3565598,349691736.602229,2019-11-14T23:59:59.999Z,Basic Attention Token,2019-11-14
31585,4.8635099086,4.8705889544,4.7296083239,4.7827063561,640805146.679648,550418229.701595,2019-11-14T23:59:59.999Z,Ethereum Classic,2019-11-14
31586,1.4086321397,1.4483621574,1.4005071909,1.439906958,3925153.80528514,75784529.1988954,2019-11-14T23:59:59.999Z,FTX Token,2019-11-14
31587,1.0029582926,1.0121509776,0.9984714364,1.0055819228,21911169228.0061,4130975242.98968,2019-11-14T23:59:59.999Z,Tether,2019-11-14
31588,3.3011278367,3.3536266135,3.2405235438,3.318528569,98600665.976683,66370571.3798,2019-11-14T23:59:59.999Z,OKB,2019-11-14
31589,1.004230932,1.0145914277,1.0017605776,1.0080560998,5855611.44750798,16755320.3208817,2019-11-14T23:59:59.999Z,Binance USD,2019-11-14
31590,61.0771521379,61.2162472705,59.4160154619,59.4298942835,3040274518.67095,3784543703.2207,2019-11-14T23:59:59.999Z,Litecoin,2019-11-14
31591,3.4791583424,3.4855209881,3.3917935386,3.4199806086,1728331754.85727,3215424715.63657,2019-11-14T23:59:59.999Z,EOS,2019-11-14
31592,188.27250908,188.634593325,184.992287118,185.999635946,7872664470.15129,20191206220.1512,2019-11-14T23:59:59.999Z,Ethereum,2019-11-14
31593,65.3223348493,65.8756176809,64.3589036003,65.5381782962,203792696.131957,1134327321.38999,2019-11-14T23:59:59.999Z,Monero,2019-11-14
31594,0.9594085231,0.9746424287,0.9550958676,0.9620740134,11726221.8073213,961591911.285158,2019-11-15T23:59:59.999Z,UNUS SED LEO,2019-11-15
31595,8731.70283882,8751.89946562,8477.11855335,8584.21935893,167649.402821951,5015689.48583368,2019-11-15T23:59:59.999Z,Wrapped Bitcoin,2019-11-15
31596,3.318528569,3.320721266,2.9714518865,2.9978272586,100222353.257114,59956545.1712,2019-11-15T23:59:59.999Z,OKB,2019-11-15
31597,1.0061536257,1.0163552944,0.9953980393,1.0013685856,25291395572.8582,4113666666.38138,2019-11-15T23:59:59.999Z,Tether,2019-11-15
31598,0.0275415662,0.0276174456,0.0263330106,0.0265566527,9315037.70868017,129130528.928051,2019-11-15T23:59:59.999Z,Ravencoin,2019-11-15
31599,0.00268195275709,0.00268902107252,0.0026085792959,0.00265663248836,78888251.4129003,324279636.711384,2019-11-15T23:59:59.999Z,Dogecoin,2019-11-15
31600,0.0145373082,0.0145390305,0.0137702108,0.0138500016,11536658.2443571,33082962.6876076,2019-11-15T23:59:59.999Z,Polygon,2019-11-15
31601,0.0748155225,0.0749715159,0.0719349264,0.0723345566,222062024.233275,1450653586.67349,2019-11-15T23:59:59.999Z,Stellar,2019-11-15
31602,3.0645588654,3.0844137809,2.8571843609,3.0351522806,157665192.031718,1062303298.21,2019-11-15T23:59:59.999Z,Chainlink,2019-11-15
31603,0.03413593,0.0343306691,0.0317927875,0.0325025943,2166919.94130223,22039778.7145043,2019-11-15T23:59:59.999Z,Hedera,2019-11-15
31604,59.4805933535,60.4716302489,57.5368681484,57.8117103973,3195878561.72701,3681894623.57753,2019-11-15T23:59:59.999Z,Litecoin,2019-11-15
31605,0.00734788100217,0.00803833165247,0.0069255696884,0.00782287489341,213244465.968931,433815452.58763,2019-11-15T23:59:59.999Z,VeChain,2019-11-15
